group,feature_count,group_total_importance,group_mean_importance_per_feature,share_of_total_importance
Numeric,5,0.073601634270109254,0.01472032685402185,0.26402723587762444
LoanGoal,14,0.036123039339102346,0.0025802170956501676,0.12958226162751377
ApplicationType,2,0.014706432483988549,0.0073532162419942745,0.052755604639410938
Activity,14,0.040324119248162031,0.0028802942320115738,0.14465257259397166
Action,5,0.013996866710167009,0.0027993733420334016,0.050210217002392768
EventOrigin,3,0.011193931654753098,0.0037313105515843661,0.040155396856558355
Resource,115,0.066536964442932681,0.00057858229950376241,0.23868452079588884
Lifecycle,7,0.022282321897144505,0.003183188842449215,0.079932190606639295
